name,address,email,date_of_birth,mobile_phone
Vincent Moore,123 Main St,vincentmoore@example.com,1978-05-15,123-456-7890
Jack Mcgillicuddy,456 Elm St,jmcgill@example.com,1982-09-10,987-654-3210
Michael James,789 Oak Ave,mjames@example.com,1990-03-25,456-789-0123
Kevin James,234 Pine Rd,kevjames@example.com,1985-11-18,789-012-3456
Lebron Jordan,567 Cedar Ln,lebron@example.com,1993-07-05,012-345-6789
Sarah Taylor,890 Maple St,sarahtaylor@example.com,1976-12-20,345-678-9012
Danny Mcbride,123 Elm St,mcbride@example.com,1988-02-28,678-901-2345
Tony Hawk,456 Oak Ave,proskater@example.com,1992-06-10,901-234-5678
Matthew Carson,789 Pine Rd,mattc@example.com,1984-10-02,234-567-8901
Dennis Sanders,123 Cedar Ln,dennys@example.com,1991-04-12,567-890-1234
